marca_id;categoria_id;codigo_interno;nombre;descripcion;unidad_medida;peso_unitario;volumen_unitario;stock_minimo;unidades_caja;codigo_ean
1;2;69595722;Dove BW DM 6p 11z/325ml;Dove BW DM 6p 11z/325ml;UND;0.734;0.000734;0;6;11111124127
1;2;69601274;DOVE DEO AER AP ORIGINAL 6X2X87G;DOVE DEO AER AP ORIGINAL 6X2X87G;UND;0.173;0.000173;0;6;7702010000000
1;2;69601275;DOVE DEO AER AP INVISIBLE BIPACK 6X2X87G;DOVE DEO AER AP INVISIBLE BIPACK 6X2X87G;UND;0.173;0.000173;0;6;7702010000000
1;3;69601283;SAVITAL CR PEIN ARGAN RTS 12X270ML;SAVITAL CR PEIN ARGAN RTS 12X270ML;UND;0.263;0.000263;0;12;7702010000000
1;3;69601300;SAVITAL CR PEIN MULTIVITAMINAS 12X275ML;SAVITAL CR PEIN MULTIVITAMINAS 12X275ML;UND;0.271;0.000271;0;12;7702010000000
1;3;69601312;SAVITAL AC MULTIVITAMINAS 12X530ML;SAVITAL AC MULTIVITAMINAS 12X530ML;UND;0.519;0.000519;0;12;7702010000000
1;3;69605546;SEDAL SH KERATINA ANTIOX 6X2X400ML;SEDAL SH KERATINA ANTIOX 6X2X400ML;UND;0.824;0.000824;0;6;7702010000000
1;3;69606825;SEDAL SH CERA 6X400ML+AC CERA 340ML;SEDAL SH CERA 6X400ML+AC CERA 340ML;UND;0.745;0.000745;0;6;7702010000000
1;3;69606833;SEDAL SH CEL MAD 6X2X400ML + AC340ML;SEDAL SH CEL MAD 6X2X400ML + AC340ML;UND;0.745;0.000745;0;6;7702010000000
1;4;69606879;FRUCO SSA TOMATE ANIV 12X1000G;FRUCO SSA TOMATE ANIV 12X1000G;UND;1;0.001;0;12;7702050000000
1;3;69607535;SEDAL SH KER ANTIOX 6X2X400ML +AC 340ML;SEDAL SH KER ANTIOX 6X2X400ML +AC 340ML;UND;0.745;0.000745;0;6;7702010000000
1;3;69609419;SEDAL CR PEIN RIZOS DEF 6X2X300ML;SEDAL CR PEIN RIZOS DEF 6X2X300ML;UND;0.594;0.000594;0;6;7702010000000
1;3;69609451;SEDAL CR PEIN RIZOS 4X3X300ML;SEDAL CR PEIN RIZOS 4X3X300ML;UND;0.891;0.000891;0;4;7702010000000
1;2;69624170;REXONA DEO AER EFFICIENT DELIC 6X2X210ML;REXONA DEO AER EFFICIENT DELIC 6X2X210ML;UND;0.242;0.000242;0;6;7702010000000
1;3;69624188;SAVITAL SH FUS PRO 4X2X550ML +ACO 530ML;SAVITAL SH FUS PRO 4X2X550ML +ACO 530ML;UND;1.65;0.00165;0;4;7702010000000
